dataset,nodes,edges,stage,category,in_wall_clock,n_runs,median_ms,mean_ms,min_ms,max_ms,stddev_ms
snb_sf30,165430,12035314,parallel branches (wall),ONLINE,1,3,817.460,813.040,802.070,819.590,9.560
snb_sf30,165430,12035314,unionWith (final),ONLINE,1,3,16.070,17.387,15.470,20.620,2.816
snb_sf30,165430,12035314,CSV write,IO,1,3,5646.840,5650.993,5642.080,5664.060,11.564
patents,3774768,16518948,CSV read (account),IO,1,3,1376.440,1376.177,1372.090,1380.000,3.962
patents,3774768,16518948,CSV read (txn),IO,1,3,13394.260,13392.520,13311.670,13471.630,79.994
patents,3774768,16518948,buildNodeIndex,OFFLINE,1,3,4367.510,4372.383,4242.850,4506.790,132.037
patents,3774768,16518948,index copy (src),OFFLINE,1,3,523.720,524.250,515.350,533.680,9.176
patents,3774768,16518948,initProbeSide (dst),OFFLINE,0,3,548.280,543.250,529.280,552.190,12.255
patents,3774768,16518948,initProbeSide (src),OFFLINE,0,3,552.720,551.990,540.620,562.630,11.023
patents,3774768,16518948,initProbeSide (wall),OFFLINE,1,3,553.500,552.733,541.300,563.400,11.070
patents,3774768,16518948,deduplicateRows (src),ONLINE,0,3,14.880,14.773,13.790,15.650,0.935
patents,3774768,16518948,deduplicateRows (dst),ONLINE,0,3,15.610,15.910,15.570,16.550,0.555
patents,3774768,16518948,probe dst,ONLINE,0,3,1501.600,1493.250,1466.260,1511.890,23.934
patents,3774768,16518948,probe src,ONLINE,0,3,1507.720,1498.323,1467.270,1519.980,27.583
patents,3774768,16518948,reduplicateRows (dst),ONLINE,0,3,32.470,33.877,32.240,36.920,2.638
patents,3774768,16518948,reduplicateRows (src),ONLINE,0,3,35.190,36.353,34.070,39.800,3.037
patents,3774768,16518948,unionWith (dst),ONLINE,0,3,18.380,16.990,13.230,19.360,3.293
patents,3774768,16518948,unionWith (src),ONLINE,0,3,24.150,24.173,21.990,26.380,2.195
patents,3774768,16518948,src branch (total),ONLINE,0,3,1584.960,1573.653,1545.060,1590.940,24.942
patents,3774768,16518948,parallel_sort (dst),ONLINE,0,3,407.620,412.210,404.430,424.580,10.831
patents,3774768,16518948,dst branch (total),ONLINE,0,3,1976.450,1972.307,1957.590,1982.880,13.144
patents,3774768,16518948,parallel branches (wall),ONLINE,1,3,2020.360,2011.370,1993.050,2020.700,15.866
patents,3774768,16518948,unionWith (final),ONLINE,1,3,22.040,20.007,13.790,24.190,5.490
