dataset,workload,nodes,edges,threads,run_id,is_warmup,stage,category,time_ms,in_wall_clock
banking_1M,banking,1000000,5000000,64,4,0,probe src,ONLINE,225.150,0
banking_1M,banking,1000000,5000000,64,4,0,reduplicateRows (dst),ONLINE,13.140,0
banking_1M,banking,1000000,5000000,64,4,0,reduplicateRows (src),ONLINE,12.410,0
banking_1M,banking,1000000,5000000,64,4,0,unionWith (dst),ONLINE,5.470,0
banking_1M,banking,1000000,5000000,64,4,0,unionWith (src),ONLINE,8.770,0
banking_1M,banking,1000000,5000000,64,4,0,src branch (total),ONLINE,252.210,0
banking_1M,banking,1000000,5000000,64,4,0,parallel_sort (dst),ONLINE,128.380,0
banking_1M,banking,1000000,5000000,64,4,0,dst branch (total),ONLINE,374.130,0
banking_1M,banking,1000000,5000000,64,4,0,parallel branches (wall),ONLINE,389.240,1
banking_1M,banking,1000000,5000000,64,4,0,unionWith (final),ONLINE,4.750,1
banking_1M,banking,1000000,5000000,64,4,0,CSV write,IO,2259.190,1
hi_small,aml,515088,5078345,64,1,1,CSV read (account),IO,152.670,1
hi_small,aml,515088,5078345,64,1,1,CSV read (txn),IO,4297.050,1
hi_small,aml,515088,5078345,64,1,1,buildNodeIndex,OFFLINE,472.560,1
hi_small,aml,515088,5078345,64,1,1,index copy (src),OFFLINE,84.220,1
hi_small,aml,515088,5078345,64,1,1,initProbeSide (dst),OFFLINE,162.990,0
hi_small,aml,515088,5078345,64,1,1,initProbeSide (src),OFFLINE,179.230,0
hi_small,aml,515088,5078345,64,1,1,initProbeSide (wall),OFFLINE,180.000,1
hi_small,aml,515088,5078345,64,1,1,deduplicateRows (src),ONLINE,4.600,0
hi_small,aml,515088,5078345,64,1,1,deduplicateRows (dst),ONLINE,5.640,0
hi_small,aml,515088,5078345,64,1,1,probe dst,ONLINE,166.720,0
hi_small,aml,515088,5078345,64,1,1,probe src,ONLINE,168.810,0
hi_small,aml,515088,5078345,64,1,1,reduplicateRows (src),ONLINE,10.340,0
hi_small,aml,515088,5078345,64,1,1,reduplicateRows (dst),ONLINE,12.190,0
hi_small,aml,515088,5078345,64,1,1,unionWith (src),ONLINE,5.040,0
hi_small,aml,515088,5078345,64,1,1,src branch (total),ONLINE,188.810,0
hi_small,aml,515088,5078345,64,1,1,unionWith (dst),ONLINE,6.620,0
hi_small,aml,515088,5078345,64,1,1,parallel_sort (dst),ONLINE,124.810,0
hi_small,aml,515088,5078345,64,1,1,dst branch (total),ONLINE,316.030,0
hi_small,aml,515088,5078345,64,1,1,parallel branches (wall),ONLINE,333.020,1
hi_small,aml,515088,5078345,64,1,1,unionWith (final),ONLINE,5.530,1
hi_small,aml,515088,5078345,64,1,1,CSV write,IO,2453.790,1
hi_small,aml,515088,5078345,64,2,0,CSV read (account),IO,151.440,1
hi_small,aml,515088,5078345,64,2,0,CSV read (txn),IO,4279.400,1
hi_small,aml,515088,5078345,64,2,0,buildNodeIndex,OFFLINE,470.410,1
hi_small,aml,515088,5078345,64,2,0,index copy (src),OFFLINE,84.800,1
hi_small,aml,515088,5078345,64,2,0,initProbeSide (dst),OFFLINE,155.130,0
hi_small,aml,515088,5078345,64,2,0,initProbeSide (src),OFFLINE,172.560,0
hi_small,aml,515088,5078345,64,2,0,initProbeSide (wall),OFFLINE,173.290,1
hi_small,aml,515088,5078345,64,2,0,deduplicateRows (src),ONLINE,5.700,0
hi_small,aml,515088,5078345,64,2,0,deduplicateRows (dst),ONLINE,5.660,0
hi_small,aml,515088,5078345,64,2,0,probe src,ONLINE,170.920,0
hi_small,aml,515088,5078345,64,2,0,probe dst,ONLINE,171.010,0
hi_small,aml,515088,5078345,64,2,0,reduplicateRows (src),ONLINE,12.690,0
hi_small,aml,515088,5078345,64,2,0,reduplicateRows (dst),ONLINE,13.200,0
hi_small,aml,515088,5078345,64,2,0,unionWith (src),ONLINE,7.100,0
hi_small,aml,515088,5078345,64,2,0,src branch (total),ONLINE,196.420,0
hi_small,aml,515088,5078345,64,2,0,unionWith (dst),ONLINE,6.710,0
hi_small,aml,515088,5078345,64,2,0,parallel_sort (dst),ONLINE,131.850,0
hi_small,aml,515088,5078345,64,2,0,dst branch (total),ONLINE,328.480,0
hi_small,aml,515088,5078345,64,2,0,parallel branches (wall),ONLINE,344.290,1
hi_small,aml,515088,5078345,64,2,0,unionWith (final),ONLINE,6.870,1
hi_small,aml,515088,5078345,64,2,0,CSV write,IO,2467.600,1
hi_small,aml,515088,5078345,64,3,0,CSV read (account),IO,155.620,1
hi_small,aml,515088,5078345,64,3,0,CSV read (txn),IO,4283.610,1
hi_small,aml,515088,5078345,64,3,0,buildNodeIndex,OFFLINE,476.230,1
hi_small,aml,515088,5078345,64,3,0,index copy (src),OFFLINE,83.840,1
hi_small,aml,515088,5078345,64,3,0,initProbeSide (dst),OFFLINE,165.710,0
hi_small,aml,515088,5078345,64,3,0,initProbeSide (src),OFFLINE,175.720,0
hi_small,aml,515088,5078345,64,3,0,initProbeSide (wall),OFFLINE,176.340,1
hi_small,aml,515088,5078345,64,3,0,deduplicateRows (dst),ONLINE,4.990,0
hi_small,aml,515088,5078345,64,3,0,deduplicateRows (src),ONLINE,6.070,0
hi_small,aml,515088,5078345,64,3,0,probe dst,ONLINE,178.720,0
hi_small,aml,515088,5078345,64,3,0,probe src,ONLINE,178.440,0
hi_small,aml,515088,5078345,64,3,0,reduplicateRows (dst),ONLINE,11.290,0
hi_small,aml,515088,5078345,64,3,0,reduplicateRows (src),ONLINE,12.460,0
hi_small,aml,515088,5078345,64,3,0,unionWith (dst),ONLINE,4.350,0
hi_small,aml,515088,5078345,64,3,0,unionWith (src),ONLINE,7.320,0
hi_small,aml,515088,5078345,64,3,0,src branch (total),ONLINE,204.310,0
hi_small,aml,515088,5078345,64,3,0,parallel_sort (dst),ONLINE,126.030,0
hi_small,aml,515088,5078345,64,3,0,dst branch (total),ONLINE,325.420,0
hi_small,aml,515088,5078345,64,3,0,parallel branches (wall),ONLINE,337.580,1
hi_small,aml,515088,5078345,64,3,0,unionWith (final),ONLINE,5.210,1
hi_small,aml,515088,5078345,64,3,0,CSV write,IO,2478.460,1
hi_small,aml,515088,5078345,64,4,0,CSV read (account),IO,158.840,1
hi_small,aml,515088,5078345,64,4,0,CSV read (txn),IO,4312.610,1
hi_small,aml,515088,5078345,64,4,0,buildNodeIndex,OFFLINE,477.480,1
hi_small,aml,515088,5078345,64,4,0,index copy (src),OFFLINE,86.740,1
hi_small,aml,515088,5078345,64,4,0,initProbeSide (dst),OFFLINE,163.300,0
hi_small,aml,515088,5078345,64,4,0,initProbeSide (src),OFFLINE,173.390,0
hi_small,aml,515088,5078345,64,4,0,initProbeSide (wall),OFFLINE,174.090,1
hi_small,aml,515088,5078345,64,4,0,deduplicateRows (dst),ONLINE,6.270,0
hi_small,aml,515088,5078345,64,4,0,deduplicateRows (src),ONLINE,7.140,0
hi_small,aml,515088,5078345,64,4,0,probe dst,ONLINE,173.890,0
hi_small,aml,515088,5078345,64,4,0,probe src,ONLINE,175.380,0
hi_small,aml,515088,5078345,64,4,0,reduplicateRows (dst),ONLINE,11.880,0
hi_small,aml,515088,5078345,64,4,0,reduplicateRows (src),ONLINE,10.180,0
hi_small,aml,515088,5078345,64,4,0,unionWith (dst),ONLINE,6.390,0
hi_small,aml,515088,5078345,64,4,0,unionWith (src),ONLINE,6.950,0
hi_small,aml,515088,5078345,64,4,0,src branch (total),ONLINE,199.680,0
hi_small,aml,515088,5078345,64,4,0,parallel_sort (dst),ONLINE,124.090,0
hi_small,aml,515088,5078345,64,4,0,dst branch (total),ONLINE,322.580,0
hi_small,aml,515088,5078345,64,4,0,parallel branches (wall),ONLINE,338.940,1
hi_small,aml,515088,5078345,64,4,0,unionWith (final),ONLINE,4.270,1
hi_small,aml,515088,5078345,64,4,0,CSV write,IO,2466.220,1
snb_sf30,snb,165430,12035314,64,1,1,CSV read (account),IO,67.440,1
snb_sf30,snb,165430,12035314,64,1,1,CSV read (txn),IO,8913.580,1
snb_sf30,snb,165430,12035314,64,1,1,buildNodeIndex,OFFLINE,234.280,1
snb_sf30,snb,165430,12035314,64,1,1,index copy (src),OFFLINE,36.980,1
snb_sf30,snb,165430,12035314,64,1,1,initProbeSide (dst),OFFLINE,396.300,0
snb_sf30,snb,165430,12035314,64,1,1,initProbeSide (src),OFFLINE,404.180,0
snb_sf30,snb,165430,12035314,64,1,1,initProbeSide (wall),OFFLINE,404.680,1
snb_sf30,snb,165430,12035314,64,1,1,deduplicateRows (dst),ONLINE,11.660,0
snb_sf30,snb,165430,12035314,64,1,1,deduplicateRows (src),ONLINE,12.030,0
snb_sf30,snb,165430,12035314,64,1,1,probe src,ONLINE,444.890,0
snb_sf30,snb,165430,12035314,64,1,1,probe dst,ONLINE,446.360,0
snb_sf30,snb,165430,12035314,64,1,1,reduplicateRows (src),ONLINE,23.440,0
