system,s_target,s_achieved,theta,query,passing_edges,expected_rows,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows,rows_match
nebuladb,0.7,0.6996826722091547,280,aml_2hop_sel_0p700.sql,3553230,134317360,1,0,1130797.718,346.914,1130450.804,134317360,1
nebuladb,0.75,0.7499730719358374,184,aml_2hop_sel_0p750.sql,3808622,182661965,1,0,1571382.965,346.914,1571036.051,182661965,1
nebuladb,0.7,0.6996826722091547,280,aml_2hop_sel_0p700.sql,3553230,134317360,2,0,1120918.99,363.085,1120555.905,134317360,1
nebuladb,0.75,0.7499730719358374,184,aml_2hop_sel_0p750.sql,3808622,182661965,2,0,1564910.012,363.085,1564546.9270000001,182661965,1
nebuladb,0.7,0.6996826722091547,280,aml_2hop_sel_0p700.sql,3553230,134317360,3,0,1125252.077,339.431,1124912.646,134317360,1
nebuladb,0.75,0.7499730719358374,184,aml_2hop_sel_0p750.sql,3808622,182661965,3,0,1553540.6330000001,339.431,1553201.202,182661965,1
