system,threads,stage,category,time_ms,in_wall_clock
obliviator,8,CSV load,IO,870.000,0
obliviator,8,CSV write,IO,174.000,0
ours,16,CSV read (account),IO,348.690,1
ours,16,CSV read (txn),IO,3972.570,1
ours,16,buildNodeIndex,OFFLINE,961.420,1
ours,16,index copy (src),OFFLINE,150.120,1
ours,16,initProbeSide (dst),OFFLINE,133.890,0
ours,16,initProbeSide (src),OFFLINE,149.390,0
ours,16,initProbeSide (wall),OFFLINE,150.090,1
ours,16,deduplicateRows (dst),ONLINE,7.580,0
ours,16,deduplicateRows (src),ONLINE,7.710,0
ours,16,probe dst,ONLINE,571.790,0
ours,16,probe src,ONLINE,588.650,0
ours,16,reduplicateRows (dst),ONLINE,24.560,0
ours,16,unionWith (dst),ONLINE,10.800,0
ours,16,reduplicateRows (src),ONLINE,25.680,0
ours,16,unionWith (src),ONLINE,69.730,0
ours,16,src branch (total),ONLINE,691.810,0
ours,16,parallel_sort (dst),ONLINE,212.130,0
ours,16,dst branch (total),ONLINE,826.920,0
ours,16,parallel branches (wall),ONLINE,842.080,1
ours,16,unionWith (final),ONLINE,10.920,1
ours,16,CSV write,IO,2479.790,1
obliviator,16,step 1 (sort),ONLINE,314.347,0
obliviator,16,step 1 (total),ONLINE,449.715,1
obliviator,16,build intermediate,ONLINE,54.236,1
obliviator,16,step 2 (sort),ONLINE,358.815,0
obliviator,16,step 2 (total),ONLINE,490.588,1
obliviator,16,emit (in-memory),ONLINE,48.251,0
obliviator,16,OBLIVIOUS WORK,ONLINE,994.539,0
obliviator,16,OBLIVIOUS WORK + EMIT,ONLINE,1042.790,0
obliviator,16,CSV load,IO,865.000,0
obliviator,16,CSV write,IO,141.000,0
ours,32,CSV read (account),IO,351.360,1
ours,32,CSV read (txn),IO,3891.180,1
ours,32,buildNodeIndex,OFFLINE,904.550,1
ours,32,index copy (src),OFFLINE,135.180,1
ours,32,initProbeSide (dst),OFFLINE,134.890,0
ours,32,initProbeSide (src),OFFLINE,158.060,0
ours,32,initProbeSide (wall),OFFLINE,158.910,1
ours,32,deduplicateRows (dst),ONLINE,6.300,0
