system,threads,run_id,is_warmup,stage,category,time_ms,in_wall_clock
ours,120,2,0,reduplicateRows (dst),ONLINE,9.160,0
ours,120,2,0,reduplicateRows (src),ONLINE,9.850,0
ours,120,2,0,unionWith (dst),ONLINE,8.450,0
ours,120,2,0,unionWith (src),ONLINE,8.270,0
ours,120,2,0,src branch (total),ONLINE,312.010,0
ours,120,2,0,parallel_sort (dst),ONLINE,115.730,0
ours,120,2,0,dst branch (total),ONLINE,426.780,0
ours,120,2,0,parallel branches (wall),ONLINE,436.820,1
ours,120,2,0,unionWith (final),ONLINE,3.880,1
ours,120,2,0,CSV write,IO,2457.970,1
obliviator,120,1,1,step 1 (sort),ONLINE,146.446,0
obliviator,120,1,1,step 1 (total),ONLINE,249.972,1
obliviator,120,1,1,build intermediate,ONLINE,24.143,1
obliviator,120,1,1,step 2 (sort),ONLINE,149.825,0
obliviator,120,1,1,step 2 (total),ONLINE,235.318,1
obliviator,120,1,1,emit (in-memory),ONLINE,11.209,0
obliviator,120,1,1,OBLIVIOUS WORK,ONLINE,509.433,0
obliviator,120,1,1,OBLIVIOUS WORK + EMIT,ONLINE,520.642,0
obliviator,120,1,1,CSV load,IO,1368.000,0
obliviator,120,1,1,CSV write,IO,139.000,0
obliviator,120,2,0,step 1 (sort),ONLINE,154.728,0
obliviator,120,2,0,step 1 (total),ONLINE,261.784,1
obliviator,120,2,0,build intermediate,ONLINE,22.913,1
obliviator,120,2,0,step 2 (sort),ONLINE,159.046,0
obliviator,120,2,0,step 2 (total),ONLINE,251.042,1
obliviator,120,2,0,emit (in-memory),ONLINE,12.546,0
obliviator,120,2,0,OBLIVIOUS WORK,ONLINE,535.739,0
obliviator,120,2,0,OBLIVIOUS WORK + EMIT,ONLINE,548.285,0
obliviator,120,2,0,CSV load,IO,1369.000,0
obliviator,120,2,0,CSV write,IO,139.000,0
