system,threads,run_id,is_warmup,stage,category,time_ms,in_wall_clock
obliviator,2,1,1,build intermediate,ONLINE,373.958,1
obliviator,2,1,1,step 2 (sort),ONLINE,2343.449,0
obliviator,2,1,1,step 2 (total),ONLINE,2960.328,1
obliviator,2,1,1,emit (in-memory),ONLINE,354.941,0
obliviator,2,1,1,OBLIVIOUS WORK,ONLINE,6133.142,0
obliviator,2,1,1,OBLIVIOUS WORK + EMIT,ONLINE,6488.083,0
obliviator,2,1,1,CSV load,IO,856.000,0
obliviator,2,1,1,CSV write,IO,163.000,0
obliviator,2,2,0,step 1 (sort),ONLINE,2199.014,0
obliviator,2,2,0,step 1 (total),ONLINE,2784.022,1
obliviator,2,2,0,build intermediate,ONLINE,363.232,1
obliviator,2,2,0,step 2 (sort),ONLINE,2355.507,0
obliviator,2,2,0,step 2 (total),ONLINE,2976.322,1
obliviator,2,2,0,emit (in-memory),ONLINE,345.225,0
obliviator,2,2,0,OBLIVIOUS WORK,ONLINE,6123.576,0
obliviator,2,2,0,OBLIVIOUS WORK + EMIT,ONLINE,6468.801,0
obliviator,2,2,0,CSV load,IO,846.000,0
obliviator,2,2,0,CSV write,IO,155.000,0
ours,4,1,1,CSV read (account),IO,340.150,1
ours,4,1,1,CSV read (txn),IO,3898.430,1
ours,4,1,1,buildNodeIndex,OFFLINE,911.700,1
ours,4,1,1,index copy (src),OFFLINE,139.510,1
ours,4,1,1,initProbeSide (dst),OFFLINE,159.390,0
ours,4,1,1,initProbeSide (src),OFFLINE,170.210,0
ours,4,1,1,initProbeSide (wall),OFFLINE,170.900,1
ours,4,1,1,deduplicateRows (dst),ONLINE,24.910,0
ours,4,1,1,deduplicateRows (src),ONLINE,26.130,0
ours,4,1,1,probe dst,ONLINE,1827.960,0
ours,4,1,1,probe src,ONLINE,1872.130,0
ours,4,1,1,reduplicateRows (dst),ONLINE,62.820,0
ours,4,1,1,unionWith (dst),ONLINE,33.540,0
ours,4,1,1,reduplicateRows (src),ONLINE,79.740,0
ours,4,1,1,unionWith (src),ONLINE,67.350,0
ours,4,1,1,src branch (total),ONLINE,2045.360,0
ours,4,1,1,parallel_sort (dst),ONLINE,713.160,0
ours,4,1,1,dst branch (total),ONLINE,2662.440,0
ours,4,1,1,parallel branches (wall),ONLINE,2682.960,1
ours,4,1,1,unionWith (final),ONLINE,63.440,1
ours,4,1,1,CSV write,IO,2429.280,1
ours,4,2,0,CSV read (account),IO,352.710,1
ours,4,2,0,CSV read (txn),IO,3947.000,1
ours,4,2,0,buildNodeIndex,OFFLINE,877.450,1
ours,4,2,0,index copy (src),OFFLINE,122.390,1
ours,4,2,0,initProbeSide (dst),OFFLINE,150.710,0
ours,4,2,0,initProbeSide (src),OFFLINE,161.970,0
ours,4,2,0,initProbeSide (wall),OFFLINE,162.570,1
ours,4,2,0,deduplicateRows (src),ONLINE,15.710,0
ours,4,2,0,deduplicateRows (dst),ONLINE,17.960,0
ours,4,2,0,probe dst,ONLINE,1843.530,0
ours,4,2,0,reduplicateRows (dst),ONLINE,61.580,0
ours,4,2,0,unionWith (dst),ONLINE,19.810,0
ours,4,2,0,probe src,ONLINE,1940.990,0
ours,4,2,0,reduplicateRows (src),ONLINE,219.770,0
ours,4,2,0,unionWith (src),ONLINE,85.460,0
ours,4,2,0,src branch (total),ONLINE,2261.960,0
ours,4,2,0,parallel_sort (dst),ONLINE,659.430,0
ours,4,2,0,dst branch (total),ONLINE,2602.360,0
ours,4,2,0,parallel branches (wall),ONLINE,2621.590,1
ours,4,2,0,unionWith (final),ONLINE,54.640,1
ours,4,2,0,CSV write,IO,2431.400,1
obliviator,4,1,1,step 1 (sort),ONLINE,1111.757,0
