system,s_target,s_achieved,theta,query,passing_edges,expected_rows,n_runs,median_ms,min_ms,max_ms,stddev_ms,output_rows,rows_match
full_mwj,0.001,0.0009997351499356581,416225565,aml_2hop_sel_0p001.sql,5077,2404,3,85292.171,85218.125,85737.848,281.1354344955455,2404,1
full_mwj,0.01,0.010000108303000289,13524530,aml_2hop_sel_0p010.sql,50784,82596,3,85925.886,85818.761,86376.021,295.70142358184813,82596,1
full_mwj,0.05,0.049998769284087634,623757,aml_2hop_sel_0p050.sql,253911,753013,3,97289.738,97067.292,97637.537,287.4096169064843,753013,1
full_mwj,0.1,0.10000009845727299,137275,aml_2hop_sel_0p100.sql,507835,2478413,3,133251.027,133206.709,133455.848,132.90721606067657,2478413,1
nebuladb,0.001,0.0009997351499356581,416225565,aml_2hop_sel_0p001.sql,5077,2404,3,43727.519,43475.15,43731.67,146.91826149370593,2404,1
nebuladb,0.01,0.010000108303000289,13524530,aml_2hop_sel_0p010.sql,50784,82596,3,43659.361,43448.71399999999,44090.763999999996,327.2890948173099,82596,1
nebuladb,0.05,0.049998769284087634,623757,aml_2hop_sel_0p050.sql,253911,753013,3,47776.002,47754.543,47915.582,87.44200421041174,753013,1
nebuladb,0.1,0.10000009845727299,137275,aml_2hop_sel_0p100.sql,507835,2478413,3,60634.899,60609.825999999994,61043.751000000004,243.61154832301298,2478413,1
