system,s_target,s_achieved,theta,query,passing_edges,expected_rows,n_runs,median_ms,min_ms,max_ms,stddev_ms,output_rows,rows_match
full_mwj,0.25,0.24999384642043815,12298,aml_2hop_sel_0p250.sql,1269555,12272345,3,338592.191,337424.37,339441.276,1012.6418450520151,12272345,1
full_mwj,0.5,0.4999118807406744,1415,aml_2hop_sel_0p500.sql,2538725,39282354,3,941681.5430000001,938266.5530000001,945878.7170000001,3812.773860093457,39282354,1
full_mwj,0.55,0.549900607382917,961,aml_2hop_sel_0p550.sql,2792585,49322515,3,1169138.333,1166113.1989999998,1173466.938,3696.073011636991,49322515,1
full_mwj,0.6,0.5998672795960102,639,aml_2hop_sel_0p600.sql,3046333,63353620,3,1488627.869,1487854.852,1495681.7000000002,4313.035216526002,63353620,1
nebuladb,0.25,0.24999384642043815,12298,aml_2hop_sel_0p250.sql,1269555,12272345,3,131886.13199999998,131266.77300000002,132633.867,684.5508510381017,12272345,1
nebuladb,0.5,0.4999118807406744,1415,aml_2hop_sel_0p500.sql,2538725,39282354,3,336785.969,335909.266,341115.706,2787.53918097959,39282354,1
nebuladb,0.55,0.549900607382917,961,aml_2hop_sel_0p550.sql,2792585,49322515,3,421085.79199999996,419008.45599999995,422276.825,1654.0919152285437,49322515,1
nebuladb,0.6,0.5998672795960102,639,aml_2hop_sel_0p600.sql,3046333,63353620,3,535660.1089999999,532432.7000000001,536027.207,1977.8528074628944,63353620,1
