system,s_target,s_achieved,theta,query,passing_edges,expected_rows,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows,rows_match
nebuladb,0.65,0.6497744836162175,424,aml_2hop_sel_0p650.sql,3299779,95761288,1,0,795688.076,346.666,795341.41,95761288,1
full_mwj,0.65,0.6497744836162175,424,aml_2hop_sel_0p650.sql,3299779,95761288,1,0,2238907.971,,2238907.971,95761288,1
nebuladb,0.65,0.6497744836162175,424,aml_2hop_sel_0p650.sql,3299779,95761288,2,0,782128.2579999999,343.026,781785.232,95761288,1
full_mwj,0.65,0.6497744836162175,424,aml_2hop_sel_0p650.sql,3299779,95761288,2,0,2292694.102,,2292694.102,95761288,1
nebuladb,0.65,0.6497744836162175,424,aml_2hop_sel_0p650.sql,3299779,95761288,3,0,788216.975,338.026,787878.949,95761288,1
full_mwj,0.65,0.6497744836162175,424,aml_2hop_sel_0p650.sql,3299779,95761288,3,0,2253850.194,,2253850.194,95761288,1
